country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,756000,796000,839000,885000,934000,986000,1040000,1100000,1160000,1230000,1300000,1380000,1460000,1550000,1640000,1730000,1820000,1910000,2000000,2070000,2140000,2180000,2210000,2230000,2240000,2270000,2310000,2360000,2440000,2500000,2630000,2830000,3090000,3390000,3680000,3920000,4090000,4220000,4320000,4430000,4590000,4790000,5030000,5290000,5560000,5820000,6060000,6260000,6460000,6680000,6930000,7210000,7530000,7870000,8200000,8540000,8850000,9160000,9480000
Albania,494000,514000,531000,548000,565000,582000,599000,617000,636000,657000,678000,699000,721000,742000,764000,787000,809000,832000,855000,877000,902000,928000,955000,983000,1010000,1040000,1070000,1100000,1130000,1170000,1200000,1200000,1210000,1220000,1230000,1240000,1250000,1260000,1270000,1280000,1290000,1300000,1330000,1350000,1380000,1410000,1430000,1450000,1470000,1500000,1520000,1550000,1580000,1600000,1630000,1650000,1680000,1710000,1730000
Algeria,3370000,3600000,3860000,4130000,4420000,4720000,5010000,5180000,5350000,5530000,5710000,5900000,6090000,6280000,6490000,6700000,6920000,7200000,7570000,7960000,8370000,8810000,9270000,9750000,10200000,10800000,11300000,11800000,12300000,12900000,13400000,14000000,14500000,15000000,15600000,16100000,16600000,17100000,17600000,18100000,18600000,19100000,19600000,20100000,20600000,21200000,21700000,22300000,23000000,23600000,24300000,25000000,25800000,26500000,27300000,28100000,29000000,29800000,30700000
Andorra,7840,8770,9750,10800,11900,13100,14300,15500,16800,18100,19500,20900,22400,23900,25400,26800,28100,29300,30500,31800,33200,34800,36600,38500,40400,42400,44300,46100,47900,49800,51600,53600,55500,57400,58800,59800,60100,59900,59600,59600,60400,62000,64200,66700,69200,71200,72700,73800,74600,75100,75000,74300,73100,71500,70100,68900,68200,67900,67800
Angola,569000,597000,628000,660000,692000,722000,750000,776000,804000,838000,881000,944000,1030000,1120000,1230000,1340000,1460000,1590000,1720000,1870000,2030000,2200000,2380000,2580000,2790000,3020000,3270000,3530000,3800000,4090000,4400000,4730000,5070000,5430000,5810000,6160000,6530000,6920000,7330000,7760000,8210000,8690000,9190000,9720000,10300000,10900000,11400000,12000000,12600000,13300000,14000000,14700000,15400000,16100000,16900000,17700000,18500000,19300000,20200000
Antigua and Barbuda,21500,21500,21500,21400,21400,21500,21600,21700,21800,21800,21700,21800,21800,21700,21500,21400,21400,21400,21400,21400,21400,21400,21500,21500,21600,21600,21700,21700,21800,21900,22200,22500,22600,22800,23100,23300,23600,23800,24100,24300,24400,24500,24300,24200,24000,23800,23700,23500,23400,23300,23100,22900,23100,23200,23300,23400,23500,23600,23700
Argentina,15100000,15400000,15800000,16200000,16600000,16900000,17300000,17700000,18000000,18400000,18800000,19200000,19700000,20100000,20500000,20900000,21400000,21800000,22200000,22700000,23100000,23600000,24100000,24600000,25200000,25700000,26200000,26800000,27300000,27800000,28400000,28900000,29400000,29800000,30300000,30700000,31100000,31600000,32000000,32400000,32900000,33300000,33700000,34200000,34600000,35000000,35400000,35900000,36300000,36700000,37100000,37500000,38000000,38500000,39000000,39500000,39900000,40400000,40900000
Armenia,961000,1010000,1070000,1120000,1170000,1230000,1290000,1340000,1400000,1450000,1510000,1570000,1630000,1690000,1750000,1800000,1860000,1910000,1960000,2010000,2050000,2090000,2120000,2160000,2200000,2240000,2280000,2330000,2370000,2390000,2390000,2350000,2300000,2240000,2180000,2130000,2080000,2050000,2030000,2010000,1980000,1960000,1950000,1940000,1920000,1910000,1890000,1870000,1850000,1840000,1830000,1820000,1820000,1830000,1840000,1850000,1850000,1860000,1860000
Australia,8380000,8590000,8830000,9030000,9250000,9460000,9710000,9850000,10000000,10300000,10500000,10900000,11100000,11300000,11600000,11800000,11900000,12100000,12200000,12400000,12600000,12800000,13000000,13200000,13300000,13500000,13700000,13900000,14100000,14400000,14600000,14800000,14900000,15000000,15200000,15300000,15500000,15700000,15800000,16000000,16100000,16300000,16600000,16800000,17000000,17300000,17500000,17700000,18000000,18500000,18800000,19100000,19400000,19800000,20100000,20400000,20800000,21100000,21500000
Austria,4560000,4590000,4620000,4660000,4690000,4730000,4760000,4800000,4830000,4850000,4870000,4900000,4930000,4960000,4960000,4950000,4940000,4950000,4940000,4940000,4940000,4950000,4930000,4900000,4880000,4860000,4850000,4830000,4820000,4820000,4830000,4860000,4890000,4910000,4910000,4900000,4880000,4860000,4850000,4830000,4820000,4820000,4820000,4820000,4830000,4840000,4840000,4830000,4820000,4810000,4800000,4790000,4820000,4860000,4920000,4990000,5060000,5110000,5150000
